112360 coi/models/sintax/train_nt_1.udb
112360 coi/models/sintax/train_nt_40.udb
112360 coi/models/sintax/train_nt_4.udb
27776 its/models/sintax/train_nt_16.udb
27776 its/models/sintax/train_nt_1.udb
27776 its/models/sintax/train_nt_40.udb
27776 its/models/sintax/train_nt_4.udb
238732 coi/models/bayesant/train_aa_16.rds
238732 coi/models/bayesant/train_aa_1.rds
238732 coi/models/bayesant/train_aa_40.rds
238732 coi/models/bayesant/train_aa_4.rds
155752 coi/models/bayesant/train_nt_16.rds
155752 coi/models/bayesant/train_nt_1.rds
155752 coi/models/bayesant/train_nt_40.rds
155752 coi/models/bayesant/train_nt_4.rds
30068 its/models/bayesant/train_nt_16.rds
30064 its/models/bayesant/train_nt_1.rds
30064 its/models/bayesant/train_nt_40.rds
30064 its/models/bayesant/train_nt_4.rds
20 coi/models/blast/train_aa_16.pdb
6344 coi/models/blast/train_aa_16.phr
280 coi/models/blast/train_aa_16.pin
4 coi/models/blast/train_aa_16.pjs
424 coi/models/blast/train_aa_16.pot
7588 coi/models/blast/train_aa_16.psq
16 coi/models/blast/train_aa_16.ptf
140 coi/models/blast/train_aa_16.pto
20 coi/models/blast/train_aa_1.pdb
6344 coi/models/blast/train_aa_1.phr
280 coi/models/blast/train_aa_1.pin
4 coi/models/blast/train_aa_1.pjs
424 coi/models/blast/train_aa_1.pot
7588 coi/models/blast/train_aa_1.psq
16 coi/models/blast/train_aa_1.ptf
140 coi/models/blast/train_aa_1.pto
20 coi/models/blast/train_aa_40.pdb
6344 coi/models/blast/train_aa_40.phr
284 coi/models/blast/train_aa_40.pin
4 coi/models/blast/train_aa_40.pjs
424 coi/models/blast/train_aa_40.pot
7588 coi/models/blast/train_aa_40.psq
16 coi/models/blast/train_aa_40.ptf
140 coi/models/blast/train_aa_40.pto
20 coi/models/blast/train_aa_4.pdb
6344 coi/models/blast/train_aa_4.phr
284 coi/models/blast/train_aa_4.pin
4 coi/models/blast/train_aa_4.pjs
420 coi/models/blast/train_aa_4.pot
7588 coi/models/blast/train_aa_4.psq
16 coi/models/blast/train_aa_4.ptf
140 coi/models/blast/train_aa_4.pto
20 coi/models/blast/train_nt_16.ndb
6344 coi/models/blast/train_nt_16.nhr
420 coi/models/blast/train_nt_16.nin
4 coi/models/blast/train_nt_16.njs
420 coi/models/blast/train_nt_16.not
5708 coi/models/blast/train_nt_16.nsq
